return_date_month,is_multiple_renter,nps_score,total_responses,promoters,passives,detractors,promoters_minus_detractors
2022-07,True,25.0,2644.0,1343.0,619.0,682.0,661.0
2022-08,False,14.091470951792337,809.0,375.0,173.0,261.0,114.0
2022-08,True,27.256868730920193,2293.0,1179.0,560.0,554.0,625.0
2022-09,False,12.39406779661017,944.0,419.0,223.0,302.0,117.0
2022-09,True,24.660550458715598,2725.0,1368.0,661.0,696.0,672.0
2022-10,False,17.02970297029703,1010.0,477.0,228.0,305.0,172.0
2022-10,True,28.48777127109886,2903.0,1520.0,690.0,693.0,827.0
2022-11,False,14.555256064690028,1113.0,500.0,275.0,338.0,162.0
2022-11,True,26.6735324407827,2913.0,1508.0,674.0,731.0,777.0
2022-12,False,16.06529209621993,1164.0,535.0,281.0,348.0,187.0
2022-12,True,28.036529680365298,3285.0,1695.0,816.0,774.0,921.0
2023-01,False,21.482176360225143,1066.0,516.0,263.0,287.0,229.0
2023-01,True,31.065548306927614,3219.0,1710.0,799.0,710.0,1000.0
2023-02,False,17.133956386292834,963.0,441.0,246.0,276.0,165.0
2023-02,True,28.379310344827584,2900.0,1495.0,733.0,672.0,823.0
2023-03,False,23.33664349553128,1007.0,500.0,242.0,265.0,235.0
2023-03,True,31.40520896426408,3302.0,1761.0,817.0,724.0,1037.0
2023-04,False,24.649298597194388,998.0,506.0,232.0,260.0,246.0
2023-04,True,36.303827751196174,3344.0,1860.0,838.0,646.0,1214.0
2023-05,False,23.592814371257482,835.0,417.0,198.0,220.0,197.0
2023-05,True,38.19241982507289,3087.0,1775.0,716.0,596.0,1179.0
2023-06,False,27.233584499461788,929.0,476.0,230.0,223.0,253.0
2023-06,True,41.6969696969697,3300.0,1948.0,780.0,572.0,1376.0
2023-07,False,27.62364294330519,829.0,427.0,204.0,198.0,229.0
2023-07,True,40.37407287971622,3101.0,1813.0,727.0,561.0,1252.0
2023-08,False,30.726770929162832,1087.0,603.0,215.0,269.0,334.0
2023-08,True,42.07374724235739,3173.0,1881.0,746.0,546.0,1335.0
2023-09,False,27.862939585211905,1109.0,589.0,240.0,280.0,309.0
2023-09,True,35.04273504273504,3393.0,1904.0,774.0,715.0,1189.0
2023-10,False,26.54569892473118,1488.0,760.0,363.0,365.0,395.0
2023-10,True,35.08353221957041,4190.0,2319.0,1022.0,849.0,1470.0
2023-11,False,30.179827990617667,1279.0,703.0,259.0,317.0,386.0
2023-11,True,37.42721016410799,3778.0,2169.0,854.0,755.0,1414.0
2023-12,False,31.365079365079364,1575.0,847.0,375.0,353.0,494.0
2023-12,True,42.025862068965516,4640.0,2752.0,1086.0,802.0,1950.0
2024-01,False,29.629629629629626,1512.0,804.0,352.0,356.0,448.0
2024-01,True,35.4978354978355,4158.0,2326.0,982.0,850.0,1476.0
2024-02,False,25.382475660639773,1438.0,747.0,309.0,382.0,365.0
2024-02,True,36.152897657213316,4055.0,2259.0,1003.0,793.0,1466.0
2024-03,False,29.454022988505745,1392.0,745.0,312.0,335.0,410.0
