join_cohort_month,is_multiple_renter,nps_score,total_responses,promoters,passives,detractors,promoters_minus_detractors
2021-03,False,8.536585365853659,902.0,370.0,239.0,293.0,77.0
2021-03,True,25.84577872599817,3281.0,1665.0,799.0,817.0,848.0
2021-04,False,5.569306930693069,808.0,334.0,185.0,289.0,45.0
2021-04,True,22.03328509406657,2764.0,1364.0,645.0,755.0,609.0
2021-05,False,9.523809523809524,840.0,347.0,226.0,267.0,80.0
2021-05,True,23.985374771480807,2735.0,1338.0,715.0,682.0,656.0
2021-06,False,2.535211267605634,710.0,281.0,166.0,263.0,18.0
2021-06,True,21.028675466545288,2197.0,1078.0,503.0,616.0,462.0
2021-07,False,14.945652173913043,736.0,333.0,180.0,223.0,110.0
2021-07,True,27.576729271644524,2183.0,1090.0,605.0,488.0,602.0
2021-08,False,12.5,784.0,352.0,178.0,254.0,98.0
2021-08,True,23.896222121074192,2197.0,1078.0,566.0,553.0,525.0
2021-09,False,5.7057057057057055,666.0,273.0,158.0,235.0,38.0
2021-09,True,27.191011235955052,2225.0,1124.0,582.0,519.0,605.0
2021-10,False,1.40405616224649,641.0,243.0,164.0,234.0,9.0
2021-10,True,31.273712737127372,1845.0,993.0,436.0,416.0,577.0
2021-11,False,10.396039603960396,606.0,266.0,137.0,203.0,63.0
2021-11,True,31.62737205290397,1739.0,932.0,425.0,382.0,550.0
2021-12,False,13.896103896103895,770.0,352.0,173.0,245.0,107.0
2021-12,True,31.069297843047273,2179.0,1200.0,456.0,523.0,677.0
2022-01,False,15.683814303638647,797.0,378.0,166.0,253.0,125.0
2022-01,True,27.67410104688211,2197.0,1125.0,555.0,517.0,608.0
2022-02,False,8.352402745995423,874.0,376.0,195.0,303.0,73.0
2022-02,True,31.167763157894733,2432.0,1315.0,560.0,557.0,758.0
2022-03,False,10.855263157894738,912.0,395.0,221.0,296.0,99.0
2022-03,True,29.275362318840582,2415.0,1286.0,550.0,579.0,707.0
2022-04,False,3.733333333333334,750.0,296.0,186.0,268.0,28.0
2022-04,True,24.504302282080058,2673.0,1310.0,708.0,655.0,655.0
